Id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
304,20-12-2006,Brisbane,Ship,Recreation,Coastal Waters,"Lawries Marina, Mooloolaba",Sheen,Unknown
305,27-12-2006,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
306,1-01-2007,Cairns,Ship,Trading,Port,"Lorim Point, Weipa",Other - Hyd,Unknown
307,10-01-2007,Brisbane,Unknown,Unknown,Coastal Waters,"Petrie Bight, Brisbane River",Sheen,Unknown
308,14-01-2007,Gladstone,Ship,Commercial,Port,Gladstone Marina,Other - Gearbox,Unknown
309,15-01-2007,Gladstone,Unknown,Unknown,Port,"South Trees Wharf, Gladstone",Sheen,Unknown
310,22-01-2007,Brisbane,Ship,Recreation,Coastal Waters,Mooloolaba Boat Harbour,Sheen,Unknown
311,30-01-2007,Brisbane,Unknown,Unknown,Port,"Maritime 2, Hamilton Reach, Brisbane River",Diesel,Unknown
312,8-02-2007,Brisbane,Ship,Recreation,Coastal Waters,"Raby Bay Marina, Brisbane",Diesel,Unknown
313,11-02-2007,Mackay,Ship,Trading,Coastal Waters,2nm East of Hay Point,Sheen,Unknown
314,16-02-2007,Mackay,Ship,Trading,Coastal Waters,Deadman Island off Cape Palmerston,Bilge,Unknown
315,17-02-2007,Gladstone,Ship,Recreation,Coastal Waters,"Long Beach, Zitzie - North of Gladstone",Diesel,Unknown
316,19-02-2007,Townsville,Ship,Commercial,Coastal Waters,Cardwell,Diesel,Unknown
317,3-03-2007,Mackay,Ship,Commercial,Port,Mackay Marina,Diesel,50
318,5-03-2007,Brisbane,Unknown,Unknown,Coastal Waters,"Browns Wharf, Mooloolaba",Sheen,Unknown
319,6-03-2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Diesel,
320,9-03-2007,Townsville,Ship,Fishing,Territorial Sea,17nm East of Magnetic Island - sunken trawler,Diesel,Unknown
321,12-03-2007,Brisbane,Ship,Commercial,Coastal Waters,Mooloolaba Boat Harbour,Other - Hydraulic,15
