------------------------------------------------------------------------------------
| id    | date         | region       | pollutant                     | estimated  |
| "950" | "15/04/2018" | "Brisbane"   | "Diesel"                      | "10"       |
| "595" | "19/08/2012" | "Brisbane"   | "Palm acid oil"               | "3000"     |
| "184" | "18/09/2004" | "Brisbane"   | "Diesel"                      | "5"        |
| "762" | "19/09/2014" | "Gladstone"  | "Diesel"                      | "1"        |
| "823" | "18/02/2016" | "Cairns"     | "Diesel"                      | "10"       |
| "386" | "12/04/2008" | "Gladstone"  | "Diesel"                      | "50"       |
| "884" | "27/12/2016" | "Townsville" | "Other (Hydraulic Oil)"       | "5"        |
| "881" | "20/12/2016" | "Cairns"     | "Diesel"                      | "10"       |
| "283" | "9/07/2006"  | "Mackay"     | "Sheen"                       | "1"        |
| "801" | "25/08/2015" | "Brisbane"   | "Diesel"                      | "1"        |
| "566" | "18/04/2012" | "Brisbane"   | "Hydraulic "                  | "4"        |
| "692" | "3/10/2013"  | "Cairns"     | "Diesel"                      | "14000"    |
| "659" | "23/05/2013" | "Townsville" | "Diesel"                      | "10"       |
| "176" | "16/08/2004" | "Cairns"     | "Sheen"                       | "6"        |
| "695" | "23/10/2013" | "Gladstone"  | "Other (Hydraulic Oil)"       | "50"       |
| "646" | "14/03/2013" | "Gladstone"  | "Hydraulic Fluid"             | "25"       |
| "543" | "21/11/2011" | "Gladstone"  | "Hydraulic "                  | "50"       |
| "547" | "7/12/2011"  | "Brisbane "  | "Diesel"                      | "20"       |
| "587" | "23/07/2012" | "Townsville" | "Diesel"                      | "50"       |
| "790" | "21/07/2015" | "Townsville" | "Sheen"                       | "N/A"      |
| "574" | "2/06/2012"  | "Gladstone"  | "Hydraulic "                  | "20"       |
| "538" | "14/10/2011" | "Gladstone"  | "Hydraulic "                  | "200"      |
| "731" | "1/04/2014"  | "Brisbane"   | "Bilge"                       | "4"        |
| "578" | "29/06/2012" | "Townsville" | "Heating "                    | "3000"     |
| "471" | "18/03/2010" | "Cairns"     | "Diesel"                      | "1000"     |
| "499" | "10/01/2011" | "Gladstone"  | "Petrol"                      | "40"       |
| "553" | "25/12/2011" | "Gladstone"  | "Hydraulic"                   | "10"       |
| "518" | "22/05/2011" | "Mackay"     | "Diesel"                      | "3"        |
| "338" | "30/05/2007" | "Mackay"     | "Bilge"                       | "20"       |
| "422" | "1/12/2008"  | "Mackay"     | "Hydraulic "                  | "5"        |
| "648" | "22/03/2013" | "Gladstone"  | "Diesel"                      | "10"       |
| "944" | "5/02/2018"  | "Brisbane"   | "Diesel"                      | "1"        |
| "741" | "30/05/2014" | "Gladstone"  | "Diesel"                      | "10"       |
| "570" | "3/05/2012"  | "Brisbane"   | " Petrol"                     | "2500"     |
| "724" | "5/03/2014"  | "Gladstone"  | "Diesel"                      | "20"       |
| "480" | "27/05/2010" | "Cairns"     | "Diesel"                      | "5"        |
| "525" | "14/07/2011" | "Gladstone"  | "Hydraulic "                  | "20"       |
| "871" | "20/10/2016" | "Townsville" | "Diesel"                      | "10"       |
| "657" | "12/05/2013" | "Gladstone"  | "Diesel"                      | "0.3"      |
